SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S98_04439,23/05/1998 00:00,21.441,92.193,1982,16,STW,59,Cox's Bazar,Ramu,5,14.7369567,3408.822063,3.836091012,8.997637683,67.00688263,8.132125081,20.48707329,55.94965063,-0.53750871,0.474588031
S98_03009,04/06/1998 00:00,23.838,91.238,1988,10,STW,34,Brahamanbaria,Akhaura,5,9.159739977,2018.368479,6.47697908,2.755411534,41.77051606,14.36915355,16.66062144,107.2323734,1.201989884,6.98328248
S98_02787,21/04/1998 00:00,23.961,90.082,1997,1,STW,53,Dhaka,Dhamrai,5,9.507165797,1846.829833,9.457558542,6,79,23.92313172,14.54769756,445.85787,4.236481136,7.902620516
S98_02997,02/06/1998 00:00,24.419,91.539,1986,12,STW,57,Habiganj,Bahubal,5,8.193458107,2815.541172,5.377789414,1.308126638,28.41567501,10.5955891,15.67956992,62.11950872,0.226886873,-1.477404126
S98_04272,13/05/1998 00:00,22.706,91.081,1996,2,STW,9,Noakhali,Noakhali Sadar,5,5.262217139,2864.736389,4.140332908,0,98,14.76443181,10.38437677,52.69640349,-0.341892298,0.521182324
S99_04319,28/06/1999 00:00,26.1838,88.5837,1962,37,HTW,14,Panchagarh,Boda,5,63.43229952,2602.165868,5.333202564,10,82,29.17598602,1.715493435,269.6111929,6.770316841,9.86263607
S99_05293,23/06/1999 00:00,25.6386,88.6713,1992,7,TARA,32.6,Dinajpur,Dinajpur Sadar,5,36.37294642,1966.647495,5.727709991,4.635549477,58.91453806,31.35284512,15.63586254,282.7053435,7.089549742,12.42357136
S99_06351,04/07/1999 00:00,26.0592,88.3587,1998,1,HTW,22.3,Thakurgaon,Thakurgaon Sadar,5,55.62729056,2365.739094,5.717572693,10,82,34.87108815,1.698109628,274.3508234,8.503766365,14.12044713
S99_05019,13/05/1999 00:00,25.1126,91.3243,1996,3,HTW,106.7,Sunamganj,Bishwambarpur,5,10.66631065,5680.634706,4.90973987,2.809902829,34.84771085,9.210206806,20.59763133,60.46363289,-0.073611187,1.821879169
S99_07078,24/05/1999 00:00,25.2006,90.0183,1996,3,TARA,38.1,Sherpur,Jhenaigati,5,21.93193583,2553.003266,6.661264925,4.744116658,47.36025488,37.27871658,29.40759603,297.6479337,4.123628044,6.79421613
